province_state,country_region,date,latitude,longitude,location_geom,confirmed,deaths,recovered,active,fips,admin2,combined_key
Anhui,China,2022-01-31,31.8257,117.2264,POINT(117.2264 31.8257),1009,6,,,,,"Anhui, China"
Beijing,China,2022-01-31,40.1824,116.4142,POINT(116.4142 40.1824),1348,9,,,,,"Beijing, China"
Chongqing,China,2022-01-31,30.0572,107.874,POINT(107.874 30.0572),613,6,,,,,"Chongqing, China"
Fujian,China,2022-01-31,26.0789,117.9874,POINT(117.9874 26.0789),1455,1,,,,,"Fujian, China"
Gansu,China,2022-01-31,35.7518,104.2861,POINT(104.2861 35.7518),356,2,,,,,"Gansu, China"
Guangdong,China,2022-01-31,23.3417,113.4244,POINT(113.4244 23.3417),3761,8,,,,,"Guangdong, China"
Guangxi,China,2022-01-31,23.8298,108.7881,POINT(108.7881 23.8298),715,2,,,,,"Guangxi, China"
Guizhou,China,2022-01-31,26.8154,106.8748,POINT(106.8748 26.8154),161,2,,,,,"Guizhou, China"
Hainan,China,2022-01-31,19.1959,109.7453,POINT(109.7453 19.1959),190,6,,,,,"Hainan, China"
Hebei,China,2022-01-31,37.8957,114.9042,POINT(114.9042 37.8957),1473,7,,,,,"Hebei, China"
Heilongjiang,China,2022-01-31,47.861999999999995,127.7615,POINT(127.7615 47.862),2064,13,,,,,"Heilongjiang, China"
Henan,China,2022-01-31,33.882,113.61399999999999,POINT(113.614 33.882),2655,22,,,,,"Henan, China"
Hong Kong,China,2022-01-31,22.3,114.2,POINT(114.2 22.3),13745,213,,,,,"Hong Kong, China"
Hubei,China,2022-01-31,30.9756,112.2707,POINT(112.2707 30.9756),68320,4512,,,,,"Hubei, China"
Hunan,China,2022-01-31,27.6104,111.7088,POINT(111.7088 27.6104),1230,4,,,,,"Hunan, China"
Inner Mongolia,China,2022-01-31,44.0935,113.9448,POINT(113.9448 44.0935),1191,1,,,,,"Inner Mongolia, China"
Jiangsu,China,2022-01-31,32.9711,119.455,POINT(119.455 32.9711),1630,0,,,,,"Jiangsu, China"
Jiangxi,China,2022-01-31,27.614,115.7221,POINT(115.7221 27.614),959,1,,,,,"Jiangxi, China"
Jilin,China,2022-01-31,43.6661,126.1923,POINT(126.1923 43.6661),591,3,,,,,"Jilin, China"
Liaoning,China,2022-01-31,41.2956,122.6085,POINT(122.6085 41.2956),812,2,,,,,"Liaoning, China"
Macau,China,2022-01-31,22.1667,113.55,POINT(113.55 22.1667),79,0,,,,,"Macau, China"
Ningxia,China,2022-01-31,37.2692,106.1655,POINT(106.1655 37.2692),122,0,,,,,"Ningxia, China"
Qinghai,China,2022-01-31,35.7452,95.9956,POINT(95.9956 35.7452),30,0,,,,,"Qinghai, China"
Shaanxi,China,2022-01-31,35.1917,108.8701,POINT(108.8701 35.1917),2826,3,,,,,"Shaanxi, China"
Shandong,China,2022-01-31,36.3427,118.1498,POINT(118.1498 36.3427),1075,7,,,,,"Shandong, China"
Shanghai,China,2022-01-31,31.201999999999998,121.4491,POINT(121.4491 31.202),3765,7,,,,,"Shanghai, China"
Shanxi,China,2022-01-31,37.5777,112.2922,POINT(112.2922 37.5777),268,0,,,,,"Shanxi, China"
Sichuan,China,2022-01-31,30.6171,102.7103,POINT(102.7103 30.6171),1374,3,,,,,"Sichuan, China"
Tianjin,China,2022-01-31,39.3054,117.323,POINT(117.323 39.3054),1050,3,,,,,"Tianjin, China"
Tibet,China,2022-01-31,31.6927,88.0924,POINT(88.0924 31.6927),1,0,,,,,"Tibet, China"
Unknown,China,2022-01-31,,,,0,0,,,,,"Unknown, China"
Xinjiang,China,2022-01-31,41.1129,85.2401,POINT(85.2401 41.1129),996,3,,,,,"Xinjiang, China"
Yunnan,China,2022-01-31,24.974,101.48700000000001,POINT(101.487 24.974),1881,2,,,,,"Yunnan, China"
Zhejiang,China,2022-01-31,29.1832,120.0934,POINT(120.0934 29.1832),2218,1,,,,,"Zhejiang, China"
Aichi,Japan,2022-01-31,35.035551,137.211621,POINT(137.211621 35.035551),165227,1187,,,,,"Aichi, Japan"
Akita,Japan,2022-01-31,39.748678999999996,140.408228,POINT(140.408228 39.748679),4075,27,,,,,"Akita, Japan"
Aomori,Japan,2022-01-31,40.781541,140.828896,POINT(140.828896 40.781541),9841,40,,,,,"Aomori, Japan"
Chiba,Japan,2022-01-31,35.510141,140.198917,POINT(140.198917 35.510141),142586,1049,,,,,"Chiba, Japan"
Ehime,Japan,2022-01-31,33.624835,132.856842,POINT(132.856842 33.624835),10158,85,,,,,"Ehime, Japan"
Fukui,Japan,2022-01-31,35.846614,136.22465400000002,POINT(136.224654 35.846614),5413,38,,,,,"Fukui, Japan"
Fukuoka,Japan,2022-01-31,33.526032,130.666949,POINT(130.666949 33.526032),121162,646,,,,,"Fukuoka, Japan"
Fukushima,Japan,2022-01-31,37.378867,140.223295,POINT(140.223295 37.378867),12992,178,,,,,"Fukushima, Japan"
Gifu,Japan,2022-01-31,35.778671,137.055925,POINT(137.055925 35.778671),28493,223,,,,,"Gifu, Japan"
Gunma,Japan,2022-01-31,36.504478999999996,138.985605,POINT(138.985605 36.504479),29160,190,,,,,"Gunma, Japan"
Hiroshima,Japan,2022-01-31,34.605309000000005,132.788719,POINT(132.788719 34.605309),48970,236,,,,,"Hiroshima, Japan"
Hokkaido,Japan,2022-01-31,43.385711,142.55231799999999,POINT(142.552318 43.385711),90048,1502,,,,,"Hokkaido, Japan"
Hyogo,Japan,2022-01-31,35.039913,134.828057,POINT(134.828057 35.039913),127730,1423,,,,,"Hyogo, Japan"
Ibaraki,Japan,2022-01-31,36.303588,140.319591,POINT(140.319591 36.303588),35254,223,,,,,"Ibaraki, Japan"
